"","ID","Week","Error","Significant"
"X0","SRR5888724",0,0.0286063973618125,"-"
"X1","SRR5888725",14,0.0342253444111259,"-"
"X2","SRR5888726",15,0.0334348557090695,"-"
"X3","SRR5888727",19,0.0309559796571879,"-"
"X4","SRR5888728",31,0.0319147006166893,"-"
"X5","SRR5888729",43,0.0317126567527151,"+"
"X6","SRR5888730",55,0.0401376229851351,"-"
"X7","SRR5888731",80,0.0306654286946027,"-"
"X8","SRR5888732",102,0.0370192128781435,"+"
"X9","SRR5888733",128,0.0364277352415361,"+"
"X10","SRR5888734",153,0.0353390255844648,"-"
"X11","SRR5888735",177,0.0323012882376637,"-"
"X12","SRR5888736",200,0.0408557955035136,"+"
